p,total_market_cap,market_cap_gainer,market_cap_gainer_pct,employees,headquarters,country,website,descriptioncompany_name,ticker,industry,sub_industry,sector,market_ca
Bank Central Asia,BBCA,Banking,Commercial Banks,Financial Services,850000000000000,8.5e+14,True,12.5,25000,"Jakarta, Indonesia",Indonesia,https://www.bca.co.id,"Largest private bank in Indonesia by market capitalization"
Telkom Indonesia,TLKM,Telecommunications,Wireless Telecommunications,Technology,320000000000000,3.2e+14,False,-2.1,21000,"Bandung, Indonesia",Indonesia,https://www.telkom.co.id,"State-owned telecommunications company"
Bank Rakyat Indonesia,BBRI,Banking,Commercial Banks,Financial Services,780000000000000,7.8e+14,True,8.3,75000,"Jakarta, Indonesia",Indonesia,https://www.bri.co.id,"Largest bank in Indonesia by assets"
Unilever Indonesia,UNVR,Consumer Goods,Household Products,Consumer Staples,450000000000000,4.5e+14,True,5.7,8000,"Jakarta, Indonesia",Indonesia,https://www.unilever.co.id,"Leading consumer goods company"
Astra International,ASII,Conglomerates,Diversified Conglomerates,Industrials,520000000000000,5.2e+14,False,-1.2,180000,"Jakarta, Indonesia",Indonesia,https://www.astra.co.id,"Largest automotive distributor in Indonesia"
Bank Mandiri,BMRI,Banking,Commercial Banks,Financial Services,680000000000000,6.8e+14,True,9.8,40000,"Jakarta, Indonesia",Indonesia,https://www.bankmandiri.co.id,"State-owned banking company"
Indofood CBP Sukses Makmur,INDF,Food & Beverage,Food Products,Consumer Staples,280000000000000,2.8e+14,True,7.2,60000,"Jakarta, Indonesia",Indonesia,https://www.indofood.com,"Largest food processing company"
PTT Global,Thailand,Oil & Gas,Integrated Oil & Gas,Energy,950000000000000,9.5e+14,True,15.3,45000,"Bangkok, Thailand",Thailand,https://www.pttgroup.com,"Thai state-owned oil and gas company"
Sea Limited,SEA,Technology,E-Commerce,Technology,450000000000000,4.5e+14,False,-8.5,30000,"Singapore",Singapore,https://www.sea.com,"Leading digital entertainment and e-commerce company"
DBS Bank,DBSD,Banking,Commercial Banks,Financial Services,1200000000000000,1.2e+15,True,11.2,28000,"Singapore",Singapore,https://www.dbs.com,"Largest bank in Southeast Asia"
Garuda Indonesia,GIAA,Airlines,Airlines,Industrials,15000000000000,1.5e+13,False,-25.3,6000,"Jakarta, Indonesia",Indonesia,https://www.garuda-indonesia.com,"National flag carrier airline"
Coal Indonesia,COAL,Mining,Coal Mining,Materials,85000000000000,8.5e+13,True,18.7,12000,"Balikpapan, Indonesia",Indonesia,https://www.coalindonesia.com,"Leading coal mining company"
Pertamina,PRTM,Oil & Gas,Integrated Oil & Gas,Energy,1800000000000000,1.8e+15,True,22.1,150000,"Jakarta, Indonesia",Indonesia,https://www.pertamina.com,"State-owned oil and gas company"
Medco Energi,MEDC,Oil & Gas,Oil & Gas Exploration,Energy,95000000000000,9.5e+13,True,12.4,3000,"Jakarta, Indonesia",Indonesia,https://www.medcoenergi.com,"Independent oil and gas exploration company"
Adaro Energy,ADRO,Mining,Coal Mining,Materials,110000000000000,1.1e+14,True,28.9,8000,"Jakarta, Indonesia",Indonesia,https://www.adaro.com,"Major coal mining company"
Bumi Resources,BUMI,Mining,Coal Mining,Materials,45000000000000,4.5e+13,False,-5.2,5000,"Jakarta, Indonesia",Indonesia,https://www.bumiresources.com,"Coal mining and energy company"
Tambang Batubara Bukit Asam,PTBA,Mining,Coal Mining,Materials,65000000000000,6.5e+13,True,15.6,4000,"Jakarta, Indonesia",Indonesia,https://www.ptba.co.id,"State-owned coal mining company"
Bank Negara Indonesia,BBNI,Banking,Commercial Banks,Financial Services,420000000000000,4.2e+14,True,6.8,25000,"Jakarta, Indonesia",Indonesia,https://www.bni.co.id,"State-owned commercial bank"
CIMB Niaga,BNGA,Banking,Commercial Banks,Financial Services,380000000000000,3.8e+14,False,-3.2,12000,"Jakarta, Indonesia",Indonesia,https://www.cimbniaga.co.id,"Commercial bank subsidiary of CIMB Group"
Sinar Mas Group,SIMR,Conglomerates,Diversified Conglomerates,Industrials,280000000000000,2.8e+14,True,4.5,120000,"Jakarta, Indonesia",Indonesia,https://www.sinarmasgroup.com,"Diversified conglomerate"
Lippo Group,LPPS,Real Estate,Real Estate Development,Real Estate,95000000000000,9.5e+13,False,-7.8,15000,"Jakarta, Indonesia",Indonesia,https://www.lippo.com,"Real estate and retail development"
Salim Group,SALM,Conglomerates,Diversified Conglomerates,Industrials,320000000000000,3.2e+14,True,8.9,100000,"Jakarta, Indonesia",Indonesia,https://www.salimgroup.com,"Food and agribusiness conglomerate"
Japfa Comfeed,JPFA,Agriculture,Livestock Production,Consumer Staples,45000000000000,4.5e+13,True,11.3,25000,"Jakarta, Indonesia",Indonesia,https://www.japfacomfeed.com,"Animal feed and livestock company"
Charoen Pokphand,CPIN,Agriculture,Livestock Production,Consumer Staples,68000000000000,6.8e+13,True,9.7,35000,"Bangkok, Thailand",Thailand,https://www.cpf.co.th,"Agribusiness and food company"
Vale Indonesia,INCO,Mining,Metal Mining,Materials,85000000000000,8.5e+13,True,14.2,4000,"Jakarta, Indonesia",Indonesia,https://www.valeindonesia.com,"Nickel mining company"
Freeport Indonesia,PTFI,Mining,Metal Mining,Materials,120000000000000,1.2e+14,True,19.8,8000,"Jakarta, Indonesia",Indonesia,https://www.freeportindonesia.com,"Gold and copper mining company"
